발주번호,발주일자,공급업체,품목카테고리,수량,단가,금액
P00461,2025-07-30,대한상사,원부자재,24,109200,2620800
P00462,2025-07-30,한빛물류,사무용품,15,104200,1563000
P00463,2025-07-31,대한상사,소모품,9,124000,1116000
P00464,2025-07-31,대한상사,소모품,19,113100,2148900
P00465,2025-07-31,서울전자유통,용역,36,72100,2595600
P00466,2025-08-01,한빛물류,원부자재,12,103500,1242000
P00467,2025-08-01,대한상사,소모품,39,104700,4083300
P00468,2025-08-01,대한상사,원부자재,14,107700,1507800
P00469,2025-08-01,대한상사,소모품,18,116200,2091600
P00470,2025-08-04,한빛물류,원부자재,47,116300,5466100
P00471,2025-08-04,우리텍,사무용품,24,89700,2152800
P00472,2025-08-04,한빛물류,원부자재,10,105900,1059000
P00473,2025-08-05,코스모기술,소모품,44,107800,4743200
P00474,2025-08-05,한빛물류,원부자재,21,101600,2133600
P00475,2025-08-05,대한상사,원부자재,4,118500,474000
P00476,2025-08-06,대한상사,원부자재,5,114200,571000
P00477,2025-08-06,서울전자유통,사무용품,34,101600,3454400
P00478,2025-08-07,그린산업,원부자재,48,111700,5361600
P00479,2025-08-07,한빛물류,사무용품,45,92900,4180500
P00480,2025-08-07,다우설비,소모품,5,115300,576500
P00481,2025-08-07,그린산업,원부자재,10,112500,1125000
P00482,2025-08-08,대한상사,원부자재,37,115800,4284600
P00483,2025-08-11,그린산업,설비,45,80800,3636000
P00484,2025-08-12,대한상사,원부자재,42,113600,4771200
P00485,2025-08-12,대한상사,소모품,19,106700,2027300
P00486,2025-08-12,대한상사,소모품,20,102300,2046000
P00487,2025-08-13,그린산업,원부자재,48,116800,5606400
P00488,2025-08-13,코스모기술,원부자재,40,104200,4168000
P00489,2025-08-14,다우설비,소모품,36,103200,3715200
P00490,2025-08-14,다우설비,소모품,39,119800,4672200
P00491,2025-08-14,다우설비,소모품,40,116600,4664000
P00492,2025-08-15,다우설비,소모품,35,104800,3668000
P00493,2025-08-15,대한상사,소모품,2,108800,217600
P00494,2025-08-15,대한상사,원부자재,11,120900,1329900
P00495,2025-08-18,센트럴시스템즈,IT장비,17,69300,1178100
P00496,2025-08-18,한빛물류,원부자재,7,106100,742700
P00497,2025-08-19,한빛물류,원부자재,44,116500,5126000
P00498,2025-08-20,코스모기술,소모품,44,115900,5099600
P00499,2025-08-20,한빛물류,원부자재,17,103900,1766300
P00500,2025-08-20,서울전자유통,용역,23,82300,1892900
P00501,2025-08-20,한빛물류,사무용품,43,102700,4416100
P00502,2025-08-21,그린산업,설비,40,84100,3364000
P00503,2025-08-21,코스모기술,원부자재,2,119600,239200
P00504,2025-08-21,코스모기술,원부자재,28,117800,3298400
P00505,2025-08-21,대한상사,원부자재,27,106100,2864700
P00506,2025-08-22,서울전자유통,용역,26,79800,2074800
P00507,2025-08-22,우리텍,사무용품,25,104900,2622500
P00508,2025-08-25,우리텍,사무용품,3,93100,279300
P00509,2025-08-25,대한상사,원부자재,5,116600,583000
P00510,2025-08-25,서울전자유통,사무용품,5,90200,451000
P00511,2025-08-25,코스모기술,소모품,10,113500,1135000
P00512,2025-08-26,청년기업협동조합,사무용품,24,104600,2510400
P00513,2025-08-26,한빛물류,원부자재,34,104200,3542800
P00514,2025-08-27,대한상사,원부자재,7,103200,722400
P00515,2025-08-27,코스모기술,소모품,2,109100,218200
P00516,2025-08-28,대한상사,소모품,7,119000,833000
P00517,2025-08-28,대한상사,원부자재,12,105300,1263600
P00518,2025-08-28,미래ENG,물류/운송,30,38300,1149000
P00519,2025-08-28,그린산업,설비,27,88500,2389500
P00520,2025-08-28,한빛물류,원부자재,42,120600,5065200
P00521,2025-08-28,대한상사,소모품,17,102800,1747600
P00522,2025-08-29,우리텍,사무용품,32,94300,3017600
P00523,2025-08-29,한빛물류,사무용품,8,91400,731200
P00524,2025-08-29,코스모기술,원부자재,15,109100,1636500
P00525,2025-09-01,대한상사,원부자재,11,105600,1161600
P00526,2025-09-01,한빛물류,사무용품,45,100700,4531500
P00527,2025-09-01,대한상사,원부자재,8,108500,868000
P00528,2025-09-01,대한상사,원부자재,44,116500,5126000
P00529,2025-09-04,대한상사,원부자재,48,120200,5769600
P00530,2025-09-04,대한상사,원부자재,43,102400,4403200
P00531,2025-09-05,대한상사,소모품,28,106600,2984800
P00532,2025-09-05,코스모기술,원부자재,34,116900,3974600
P00533,2025-09-05,대한상사,소모품,41,112500,4612500
P00534,2025-09-05,서울전자유통,사무용품,13,95400,1240200
P00535,2025-09-05,코스모기술,소모품,23,124100,2854300
P00536,2025-09-05,그린산업,원부자재,33,117700,3884100
P00537,2025-09-05,한빛물류,원부자재,21,105100,2207100
P00538,2025-09-09,서울전자유통,용역,32,78500,2512000
P00539,2025-09-09,대한상사,소모품,35,112800,3948000
P00540,2025-09-11,한빛물류,원부자재,37,104500,3866500
P00541,2025-09-12,대한상사,원부자재,14,117400,1643600
P00542,2025-09-12,코스모기술,원부자재,5,114700,573500
P00543,2025-09-15,그린산업,설비,8,88200,705600
P00544,2025-09-15,한빛물류,원부자재,34,116600,3964400
P00545,2025-09-16,코스모기술,소모품,9,113700,1023300
P00546,2025-09-16,센트럴시스템즈,IT장비,15,68900,1033500
P00547,2025-09-16,한빛물류,원부자재,15,112000,1680000
P00548,2025-09-17,미래ENG,물류/운송,15,39400,591000
P00549,2025-09-17,다우설비,소모품,12,118300,1419600
P00550,2025-09-17,그린산업,설비,19,82300,1563700
P00551,2025-09-17,대한상사,원부자재,17,121500,2065500
P00552,2025-09-18,서울전자유통,사무용품,21,90300,1896300
P00553,2025-09-19,그린산업,원부자재,41,114000,4674000
P00554,2025-09-22,서울전자유통,용역,33,69400,2290200
P00555,2025-09-22,한빛물류,원부자재,44,114400,5033600
P00556,2025-09-22,대한상사,원부자재,29,101400,2940600
P00557,2025-09-23,대한상사,원부자재,29,106200,3079800
P00558,2025-09-23,서울전자유통,용역,12,74700,896400
P00559,2025-09-23,센트럴시스템즈,설비,40,92500,3700000
P00560,2025-09-23,대한상사,소모품,11,103800,1141800
P00561,2025-09-23,그린산업,설비,2,90800,181600
P00562,2025-09-23,서울전자유통,사무용품,43,99900,4295700
P00563,2025-09-23,미래ENG,물류/운송,18,37200,669600
P00564,2025-09-24,대한상사,소모품,7,118300,828100
P00565,2025-09-24,대한상사,원부자재,9,119500,1075500
P00566,2025-09-26,그린산업,설비,5,95100,475500
P00567,2025-09-26,대한상사,원부자재,13,107900,1402700
P00568,2025-09-26,대한상사,원부자재,15,100600,1509000
P00569,2025-09-29,그린산업,원부자재,25,102800,2570000
P00570,2025-09-29,다우설비,소모품,13,103200,1341600
P00571,2025-09-29,미래ENG,물류/운송,6,36300,217800
P00572,2025-09-29,미래ENG,물류/운송,29,43900,1273100
P00573,2025-09-30,대한상사,소모품,32,115100,3683200
P00574,2025-09-30,센트럴시스템즈,설비,44,96400,4241600
P00575,2025-09-30,대한상사,원부자재,47,116700,5484900
P00576,2025-09-30,그린산업,설비,47,94000,4418000
P00577,2025-09-30,미래ENG,물류/운송,23,43200,993600
P00578,2025-09-30,대한상사,원부자재,8,102300,818400
P00579,2025-09-30,대한상사,소모품,40,122300,4892000
P00580,2025-09-30,서울전자유통,사무용품,36,102900,3704400
P00581,2025-10-01,우리텍,사무용품,14,106700,1493800
P00582,2025-10-01,한빛물류,원부자재,4,109400,437600
P00583,2025-10-01,한빛물류,원부자재,34,102300,3478200
P00584,2025-10-01,다우설비,소모품,15,124400,1866000
P00585,2025-10-01,그린산업,설비,30,87400,2622000
P00586,2025-10-01,서울전자유통,용역,18,73900,1330200
P00587,2025-10-02,한빛물류,원부자재,39,118900,4637100
P00588,2025-10-02,그린산업,원부자재,29,114600,3323400
P00589,2025-10-02,한빛물류,원부자재,12,116800,1401600
P00590,2025-10-03,서울전자유통,용역,29,80800,2343200
P00591,2025-10-03,미래ENG,물류/운송,4,39100,156400
P00592,2025-10-03,대한상사,원부자재,10,119600,1196000
P00593,2025-10-03,대한상사,원부자재,44,103000,4532000
P00594,2025-10-06,그린산업,설비,5,86200,431000
P00595,2025-10-06,대한상사,원부자재,9,108100,972900
P00596,2025-10-06,대한상사,소모품,27,112600,3040200
P00597,2025-10-07,한빛물류,원부자재,37,114800,4247600
P00598,2025-10-07,청년기업협동조합,사무용품,39,108600,4235400
P00599,2025-10-08,대한상사,소모품,39,111800,4360200
P00600,2025-10-09,한빛물류,사무용품,49,93700,4591300
P00601,2025-10-09,서울전자유통,사무용품,41,91300,3743300
P00602,2025-10-09,센트럴시스템즈,설비,1,84200,84200
P00603,2025-10-10,서울전자유통,용역,33,76000,2508000
P00604,2025-10-10,대한상사,소모품,14,114600,1604400
P00605,2025-10-10,서울전자유통,용역,39,73700,2874300
P00606,2025-10-10,다우설비,소모품,38,104200,3959600
P00607,2025-10-10,대한상사,소모품,36,121700,4381200
P00608,2025-10-13,서울전자유통,사무용품,17,104200,1771400
P00609,2025-10-13,우리텍,사무용품,5,100400,502000
P00610,2025-10-13,코스모기술,소모품,5,116900,584500
P00611,2025-10-13,코스모기술,소모품,39,111700,4356300
P00612,2025-10-13,대한상사,원부자재,6,120000,720000
P00613,2025-10-14,대한상사,소모품,38,119900,4556200
P00614,2025-10-15,코스모기술,원부자재,2,121000,242000
P00615,2025-10-15,서울전자유통,용역,42,69900,2935800
P00616,2025-10-15,한빛물류,원부자재,18,101900,1834200
P00617,2025-10-16,우리텍,사무용품,27,92900,2508300
P00618,2025-10-17,서울전자유통,용역,42,82900,3481800
P00619,2025-10-17,대한상사,원부자재,41,108200,4436200
P00620,2025-10-17,그린산업,원부자재,49,106400,5213600
P00621,2025-10-17,우리텍,사무용품,49,98100,4806900
P00622,2025-10-20,미래ENG,물류/운송,48,37000,1776000
P00623,2025-10-20,대한상사,소모품,22,104400,2296800
P00624,2025-10-20,미래ENG,물류/운송,17,41100,698700
P00625,2025-10-20,대한상사,소모품,43,123400,5306200
P00626,2025-10-20,한빛물류,원부자재,39,107700,4200300
P00627,2025-10-21,센트럴시스템즈,IT장비,1,66700,66700
P00628,2025-10-22,서울전자유통,용역,29,80600,2337400
P00629,2025-10-23,코스모기술,소모품,26,124200,3229200
P00630,2025-10-23,청년기업협동조합,사무용품,49,93100,4561900
P00631,2025-10-23,서울전자유통,용역,11,81700,898700
P00632,2025-10-23,코스모기술,원부자재,11,118800,1306800
P00633,2025-10-23,대한상사,소모품,28,106500,2982000
P00634,2025-10-23,미래ENG,물류/운송,5,42600,213000
P00635,2025-10-23,대한상사,원부자재,12,109700,1316400
P00636,2025-10-24,한빛물류,원부자재,44,105100,4624400
P00637,2025-10-24,서울전자유통,용역,33,68700,2267100
P00638,2025-10-24,대한상사,원부자재,4,113100,452400
P00639,2025-10-24,대한상사,소모품,39,121800,4750200
P00640,2025-10-24,한빛물류,사무용품,35,106700,3734500
P00641,2025-10-24,그린산업,설비,23,92300,2122900
P00642,2025-10-27,서울전자유통,용역,42,74100,3112200
P00643,2025-10-27,센트럴시스템즈,설비,40,91600,3664000
P00644,2025-10-27,미래ENG,물류/운송,19,41500,788500
P00645,2025-10-28,센트럴시스템즈,설비,34,89200,3032800
P00646,2025-10-28,대한상사,원부자재,23,111100,2555300
P00647,2025-10-28,대한상사,소모품,45,123600,5562000
P00648,2025-10-28,대한상사,소모품,29,111800,3242200
P00649,2025-10-28,대한상사,원부자재,21,102400,2150400
P00650,2025-10-29,대한상사,소모품,29,121700,3529300
P00651,2025-10-29,한빛물류,원부자재,13,117200,1523600
P00652,2025-10-29,대한상사,원부자재,33,119200,3933600
P00653,2025-10-30,대한상사,원부자재,4,102400,409600
P00654,2025-10-30,한빛물류,사무용품,47,98500,4629500
P00655,2025-10-30,센트럴시스템즈,IT장비,20,74000,1480000
P00656,2025-10-30,대한상사,소모품,14,106900,1496600
P00657,2025-10-31,대한상사,소모품,48,117400,5635200
P00658,2025-10-31,대한상사,소모품,28,119200,3337600
P00659,2025-10-31,서울전자유통,사무용품,1,96300,96300
P00660,2025-10-31,미래ENG,물류/운송,49,36500,1788500
P00661,2025-11-03,다우설비,소모품,15,103900,1558500
P00662,2025-11-03,대한상사,원부자재,22,109900,2417800
P00663,2025-11-03,그린산업,설비,40,84300,3372000
P00664,2025-11-03,코스모기술,원부자재,1,120400,120400
P00665,2025-11-04,한빛물류,사무용품,26,99900,2597400
P00666,2025-11-04,미래ENG,물류/운송,30,39300,1179000
P00667,2025-11-04,그린산업,원부자재,33,111200,3669600
P00668,2025-11-04,대한상사,원부자재,36,121200,4363200
P00669,2025-11-05,서울전자유통,사무용품,46,101700,4678200
P00670,2025-11-06,한빛물류,원부자재,30,105200,3156000
P00671,2025-11-06,대한상사,소모품,48,112300,5390400
P00672,2025-11-06,다우설비,소모품,21,104900,2202900
P00673,2025-11-06,미래ENG,물류/운송,7,43100,301700
P00674,2025-11-06,다우설비,소모품,23,105800,2433400
P00675,2025-11-11,서울전자유통,용역,41,82200,3370200
P00676,2025-11-11,다우설비,소모품,6,104000,624000
P00677,2025-11-11,대한상사,소모품,34,119900,4076600
P00678,2025-11-11,서울전자유통,사무용품,18,94000,1692000
P00679,2025-11-12,미래ENG,물류/운송,14,41500,581000
P00680,2025-11-12,대한상사,소모품,16,108700,1739200
P00681,2025-11-13,대한상사,원부자재,43,118100,5078300
P00682,2025-11-13,청년기업협동조합,사무용품,22,97300,2140600
P00683,2025-11-13,청년기업협동조합,사무용품,40,94300,3772000
P00684,2025-11-13,대한상사,원부자재,15,113700,1705500
P00685,2025-11-14,다우설비,소모품,24,120400,2889600
P00686,2025-11-14,코스모기술,원부자재,31,117800,3651800
P00687,2025-11-14,대한상사,원부자재,16,107300,1716800
P00688,2025-11-17,대한상사,원부자재,25,104800,2620000
P00689,2025-11-17,대한상사,소모품,27,106600,2878200
P00690,2025-11-17,청년기업협동조합,사무용품,48,98100,4708800
P00691,2025-11-17,코스모기술,소모품,15,121800,1827000
P00692,2025-11-17,그린산업,설비,8,97100,776800
P00693,2025-11-18,서울전자유통,용역,27,71800,1938600
P00694,2025-11-18,미래ENG,물류/운송,3,40200,120600
P00695,2025-11-19,대한상사,원부자재,22,113600,2499200
P00696,2025-11-19,센트럴시스템즈,IT장비,21,65300,1371300
P00697,2025-11-20,우리텍,사무용품,20,89900,1798000
P00698,2025-11-20,다우설비,소모품,24,124900,2997600
P00699,2025-11-21,코스모기술,원부자재,1,108800,108800
P00700,2025-11-21,그린산업,원부자재,47,118800,5583600
P00701,2025-11-21,미래ENG,물류/운송,43,39600,1702800
P00702,2025-11-24,한빛물류,사무용품,33,94900,3131700
P00703,2025-11-24,한빛물류,원부자재,47,108100,5080700
P00704,2025-11-24,그린산업,원부자재,12,105800,1269600
P00705,2025-11-25,그린산업,원부자재,37,100600,3722200
P00706,2025-11-25,대한상사,원부자재,23,109500,2518500
P00707,2025-11-25,대한상사,원부자재,19,103100,1958900
P00708,2025-11-25,그린산업,설비,32,85700,2742400
P00709,2025-11-26,청년기업협동조합,사무용품,22,104000,2288000
P00710,2025-11-26,대한상사,원부자재,16,116900,1870400
P00711,2025-11-26,미래ENG,물류/운송,21,39300,825300
P00712,2025-11-26,대한상사,소모품,22,119600,2631200
P00713,2025-11-28,센트럴시스템즈,IT장비,29,70900,2056100
P00714,2025-11-28,대한상사,소모품,12,106600,1279200
P00715,2025-11-28,코스모기술,소모품,30,112200,3366000
P00716,2025-11-28,서울전자유통,용역,13,82500,1072500
P00717,2025-11-28,한빛물류,원부자재,1,99900,99900
P00718,2025-12-01,한빛물류,사무용품,4,105600,422400
P00719,2025-12-02,한빛물류,사무용품,5,98300,491500
P00720,2025-12-02,대한상사,소모품,29,103100,2989900
P00721,2025-12-02,그린산업,원부자재,35,100500,3517500
P00722,2025-12-02,서울전자유통,사무용품,37,93500,3459500
P00723,2025-12-03,코스모기술,원부자재,15,102400,1536000
P00724,2025-12-03,그린산업,설비,31,96500,2991500
P00725,2025-12-03,코스모기술,소모품,17,121600,2067200
P00726,2025-12-04,다우설비,소모품,16,104700,1675200
P00727,2025-12-04,대한상사,원부자재,5,121400,607000
P00728,2025-12-05,대한상사,원부자재,12,114600,1375200
P00729,2025-12-05,한빛물류,원부자재,3,108000,324000
P00730,2025-12-05,다우설비,소모품,45,123700,5566500
P00731,2025-12-08,대한상사,원부자재,4,107500,430000
P00732,2025-12-08,대한상사,원부자재,20,120900,2418000
P00733,2025-12-08,대한상사,원부자재,36,107800,3880800
P00734,2025-12-08,우리텍,사무용품,38,107800,4096400
P00735,2025-12-09,대한상사,소모품,20,119900,2398000
P00736,2025-12-09,코스모기술,소모품,30,124700,3741000
P00737,2025-12-10,서울전자유통,용역,46,72400,3330400
P00738,2025-12-11,그린산업,설비,5,82800,414000
P00739,2025-12-11,대한상사,원부자재,25,106900,2672500
P00740,2025-12-11,한빛물류,사무용품,8,92000,736000
P00741,2025-12-12,미래ENG,물류/운송,15,43200,648000
P00742,2025-12-12,한빛물류,사무용품,12,105200,1262400
P00743,2025-12-12,대한상사,소모품,44,116700,5134800
P00744,2025-12-12,대한상사,원부자재,5,114900,574500
P00745,2025-12-12,코스모기술,원부자재,42,114900,4825800
P00746,2025-12-12,센트럴시스템즈,IT장비,9,73000,657000
P00747,2025-12-12,대한상사,원부자재,9,100700,906300
P00748,2025-12-15,우리텍,사무용품,2,92900,185800
P00749,2025-12-15,대한상사,소모품,10,115700,1157000
P00750,2025-12-16,대한상사,소모품,39,124800,4867200
P00751,2025-12-16,그린산업,원부자재,35,118200,4137000
P00752,2025-12-16,미래ENG,물류/운송,15,41000,615000
P00753,2025-12-17,대한상사,원부자재,26,115700,3008200
P00754,2025-12-17,다우설비,소모품,16,120300,1924800
P00755,2025-12-17,대한상사,원부자재,45,113000,5085000
P00756,2025-12-17,코스모기술,원부자재,21,112500,2362500
P00757,2025-12-17,한빛물류,원부자재,37,107200,3966400
P00758,2025-12-18,한빛물류,사무용품,12,97200,1166400
P00759,2025-12-18,한빛물류,원부자재,15,109500,1642500
P00760,2025-12-18,그린산업,설비,24,85200,2044800
P00761,2025-12-19,다우설비,소모품,3,107300,321900
P00762,2025-12-19,그린산업,설비,34,95500,3247000
P00763,2025-12-19,다우설비,소모품,38,109900,4176200
P00764,2025-12-22,미래ENG,물류/운송,17,41800,710600
P00765,2025-12-22,대한상사,소모품,39,122100,4761900
P00766,2025-12-23,대한상사,소모품,27,111600,3013200
P00767,2025-12-23,대한상사,소모품,25,108200,2705000
P00768,2025-12-23,대한상사,원부자재,27,112800,3045600
P00769,2025-12-23,서울전자유통,용역,33,72600,2395800
P00770,2025-12-23,미래ENG,물류/운송,10,36800,368000
P00771,2025-12-24,대한상사,소모품,24,106200,2548800
P00772,2025-12-24,다우설비,소모품,12,121900,1462800
P00773,2025-12-25,코스모기술,원부자재,45,120100,5404500
P00774,2025-12-25,대한상사,원부자재,9,109900,989100
P00775,2025-12-25,대한상사,소모품,44,105700,4650800
P00776,2025-12-26,센트럴시스템즈,설비,15,97700,1465500
P00777,2025-12-26,대한상사,소모품,23,106700,2454100
P00778,2025-12-26,한빛물류,원부자재,12,113400,1360800
P00779,2025-12-26,센트럴시스템즈,설비,38,83800,3184400
P00780,2025-12-29,서울전자유통,사무용품,21,91300,1917300
P00781,2025-12-30,다우설비,소모품,37,119300,4414100
P00782,2025-12-30,대한상사,원부자재,13,117900,1532700
P00783,2025-12-30,코스모기술,원부자재,23,121700,2799100
P00784,2025-12-31,대한상사,소모품,4,116800,467200
P00785,2026-01-01,그린산업,원부자재,21,121300,2547300
P00786,2026-01-01,그린산업,설비,12,84700,1016400
P00787,2026-01-01,대한상사,원부자재,9,100300,902700
P00788,2026-01-02,한빛물류,사무용품,21,91300,1917300
P00789,2026-01-02,대한상사,원부자재,36,105400,3794400
P00790,2026-01-05,그린산업,원부자재,1,104100,104100
P00791,2026-01-05,대한상사,원부자재,25,122000,3050000
P00792,2026-01-05,대한상사,소모품,8,105500,844000
P00793,2026-01-06,대한상사,원부자재,22,121600,2675200
P00794,2026-01-06,다우설비,소모품,35,106000,3710000
P00795,2026-01-06,한빛물류,원부자재,30,111300,3339000
P00796,2026-01-06,대한상사,소모품,11,103800,1141800
P00797,2026-01-07,미래ENG,물류/운송,32,39000,1248000
P00798,2026-01-07,대한상사,원부자재,38,100400,3815200
P00799,2026-01-07,청년기업협동조합,사무용품,34,106500,3621000
P00800,2026-01-07,서울전자유통,사무용품,49,98400,4821600
P00801,2026-01-07,대한상사,원부자재,25,116700,2917500
P00802,2026-01-08,한빛물류,사무용품,43,103400,4446200
P00803,2026-01-08,코스모기술,소모품,23,115800,2663400
P00804,2026-01-09,대한상사,소모품,32,108700,3478400
P00805,2026-01-09,다우설비,소모품,1,124300,124300
P00806,2026-01-09,미래ENG,물류/운송,2,42500,85000
P00807,2026-01-12,미래ENG,물류/운송,11,40700,447700
P00808,2026-01-12,대한상사,소모품,9,109200,982800
P00809,2026-01-12,센트럴시스템즈,설비,21,92300,1938300
P00810,2026-01-12,다우설비,소모품,27,121100,3269700
P00811,2026-01-13,코스모기술,원부자재,49,116700,5718300
P00812,2026-01-13,한빛물류,원부자재,21,109900,2307900
P00813,2026-01-13,대한상사,원부자재,29,120600,3497400
P00814,2026-01-13,한빛물류,사무용품,7,97700,683900
P00815,2026-01-13,대한상사,소모품,33,109400,3610200
P00816,2026-01-13,대한상사,소모품,42,106500,4473000
P00817,2026-01-14,센트럴시스템즈,IT장비,17,70000,1190000
P00818,2026-01-14,코스모기술,원부자재,37,104400,3862800
P00819,2026-01-14,다우설비,소모품,1,114900,114900
P00820,2026-01-15,대한상사,소모품,12,103300,1239600
P00821,2026-01-15,대한상사,원부자재,44,107100,4712400
P00822,2026-01-16,다우설비,소모품,20,105300,2106000
P00823,2026-01-16,서울전자유통,용역,41,73600,3017600
P00824,2026-01-19,한빛물류,원부자재,40,109500,4380000
P00825,2026-01-19,코스모기술,원부자재,15,115100,1726500
P00826,2026-01-19,미래ENG,물류/운송,41,43100,1767100
P00827,2026-01-19,코스모기술,원부자재,29,113600,3294400
P00828,2026-01-19,서울전자유통,사무용품,39,101300,3950700
P00829,2026-01-20,한빛물류,사무용품,24,97000,2328000
P00830,2026-01-20,코스모기술,소모품,27,109200,2948400
P00831,2026-01-21,미래ENG,물류/운송,34,36700,1247800
P00832,2026-01-21,대한상사,소모품,34,107700,3661800
P00833,2026-01-22,대한상사,소모품,37,116700,4317900
P00834,2026-01-22,대한상사,원부자재,6,104400,626400
P00835,2026-01-22,한빛물류,원부자재,27,111300,3005100
P00836,2026-01-22,센트럴시스템즈,설비,27,93500,2524500
P00837,2026-01-23,대한상사,소모품,46,110100,5064600
P00838,2026-01-23,청년기업협동조합,사무용품,39,95900,3740100
P00839,2026-01-26,센트럴시스템즈,IT장비,30,66200,1986000
P00840,2026-01-26,대한상사,소모품,1,113000,113000
P00841,2026-01-26,한빛물류,사무용품,35,98900,3461500
P00842,2026-01-26,코스모기술,원부자재,39,112900,4403100
P00843,2026-01-27,한빛물류,사무용품,33,92300,3045900
P00844,2026-01-27,센트럴시스템즈,IT장비,25,72800,1820000
P00845,2026-01-28,서울전자유통,용역,43,83300,3581900
P00846,2026-01-29,대한상사,소모품,4,107100,428400
P00847,2026-01-30,센트럴시스템즈,설비,49,84000,4116000
P00848,2026-01-30,센트럴시스템즈,설비,32,80800,2585600
P00849,2026-01-30,미래ENG,물류/운송,48,42100,2020800
P00850,2026-02-02,코스모기술,소모품,28,115500,3234000
P00851,2026-02-02,코스모기술,소모품,25,123200,3080000
P00852,2026-02-03,센트럴시스템즈,설비,11,92500,1017500
P00853,2026-02-03,우리텍,사무용품,15,102900,1543500
P00854,2026-02-03,다우설비,소모품,22,122900,2703800
P00855,2026-02-03,대한상사,소모품,11,116500,1281500
P00856,2026-02-03,미래ENG,물류/운송,1,42100,42100
P00857,2026-02-03,대한상사,원부자재,7,114200,799400
P00858,2026-02-03,대한상사,원부자재,3,106200,318600
P00859,2026-02-03,한빛물류,사무용품,25,102200,2555000
P00860,2026-02-03,한빛물류,원부자재,27,112600,3040200
P00861,2026-02-04,서울전자유통,사무용품,47,104500,4911500
P00862,2026-02-04,대한상사,소모품,19,104900,1993100
P00863,2026-02-04,미래ENG,물류/운송,36,42800,1540800
P00864,2026-02-05,다우설비,소모품,38,112900,4290200
P00865,2026-02-05,대한상사,원부자재,45,121000,5445000
P00866,2026-02-06,대한상사,소모품,18,110900,1996200
P00867,2026-02-09,그린산업,원부자재,21,108000,2268000
P00868,2026-02-09,대한상사,원부자재,45,114300,5143500
P00869,2026-02-09,대한상사,소모품,43,107600,4626800
P00870,2026-02-09,대한상사,원부자재,14,117500,1645000
P00871,2026-02-10,대한상사,소모품,10,115900,1159000
P00872,2026-02-11,대한상사,소모품,47,122000,5734000
P00873,2026-02-11,그린산업,설비,35,89200,3122000
P00874,2026-02-11,대한상사,소모품,31,104800,3248800
P00875,2026-02-11,코스모기술,소모품,41,120400,4936400
P00876,2026-02-12,대한상사,원부자재,33,110100,3633300
P00877,2026-02-13,대한상사,소모품,26,107900,2805400
P00878,2026-02-16,코스모기술,원부자재,5,112900,564500
P00879,2026-02-16,대한상사,소모품,19,122900,2335100
P00880,2026-02-16,대한상사,소모품,41,111500,4571500
P00881,2026-02-16,대한상사,소모품,34,102600,3488400
P00882,2026-02-16,코스모기술,소모품,28,118500,3318000
P00883,2026-02-17,한빛물류,원부자재,43,121300,5215900
P00884,2026-02-17,미래ENG,물류/운송,23,36700,844100
P00885,2026-02-17,서울전자유통,용역,21,70800,1486800
P00886,2026-02-17,코스모기술,원부자재,6,105700,634200
P00887,2026-02-17,대한상사,소모품,31,122600,3800600
P00888,2026-02-17,대한상사,원부자재,31,115500,3580500
P00889,2026-02-17,한빛물류,사무용품,36,98600,3549600
P00890,2026-02-18,다우설비,소모품,41,106200,4354200
P00891,2026-02-18,한빛물류,원부자재,41,110000,4510000
P00892,2026-02-19,그린산업,원부자재,15,118200,1773000
P00893,2026-02-19,한빛물류,사무용품,27,95600,2581200
P00894,2026-02-19,미래ENG,물류/운송,43,37000,1591000
P00895,2026-02-20,우리텍,사무용품,11,93900,1032900
P00896,2026-02-23,대한상사,소모품,37,117900,4362300
P00897,2026-02-23,한빛물류,사무용품,1,106000,106000
P00898,2026-02-24,대한상사,소모품,10,107600,1076000
P00899,2026-02-24,대한상사,원부자재,49,117500,5757500
P00900,2026-02-25,한빛물류,원부자재,22,110400,2428800
P00901,2026-02-25,센트럴시스템즈,IT장비,7,63300,443100
P00902,2026-02-25,대한상사,원부자재,7,107600,753200
P00903,2026-02-27,서울전자유통,사무용품,25,89100,2227500
P00904,2026-02-27,미래ENG,물류/운송,11,38300,421300
P00905,2026-02-27,대한상사,원부자재,41,108400,4444400
P00906,2026-02-27,센트럴시스템즈,IT장비,5,63600,318000
P00907,2026-02-27,그린산업,설비,38,88000,3344000
P00908,2026-03-02,미래ENG,물류/운송,27,42200,1139400
P00909,2026-03-02,한빛물류,원부자재,9,119200,1072800
P00910,2026-03-02,센트럴시스템즈,설비,5,82000,410000
P00911,2026-03-03,그린산업,설비,42,94400,3964800
P00912,2026-03-03,청년기업협동조합,사무용품,19,92600,1759400
P00913,2026-03-03,한빛물류,사무용품,15,89100,1336500
P00914,2026-03-03,미래ENG,물류/운송,24,43900,1053600
P00915,2026-03-04,한빛물류,사무용품,30,99100,2973000
P00916,2026-03-04,대한상사,원부자재,43,107300,4613900
P00917,2026-03-04,대한상사,소모품,19,117300,2228700
P00918,2026-03-04,한빛물류,원부자재,41,119000,4879000
P00919,2026-03-05,우리텍,사무용품,40,94700,3788000
P00920,2026-03-05,대한상사,소모품,3,105800,317400
P00921,2026-03-06,코스모기술,소모품,4,108200,432800
P00922,2026-03-06,대한상사,원부자재,26,118000,3068000
